Workers_num,CPUs_worker_num,Part_1,Part_2
1,8,279.8923809528351,91.847576379776
2,4,245.03092670440674,78.17455983161926
4,2,223.8860411643982,72.56685662269592
8,1,191.8672580718994,60.26094365119934
