Workers_num,Part_1,Part_2
1,279.8923809528351,91.847576379776
2,154.98814034461975,48.7951877117157
3,97.45419120788574,30.96968984603882
4,84.36975145339966,26.143234491348267
5,68.30447220802307,20.417814016342163
6,64.31415224075317,20.854904651641846
7,61.174172163009644,18.808233976364136
8,55.51856517791748,18.088404655456543
9,54.7369339466095,17.0499370098114
10,51.24770522117615,14.061469793319702
